,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
144,160.6199951171875,235.86000061035156,186.97000122070312,190.19000244140625,221.6999969482422,210.41000366210938,56.16999816894531,160.44000244140625,139.47000122070312,62.84000015258789,343.2699890136719,336.3599853515625,191.92999267578125,127.95999908447266,47.13999938964844,176.8000030517578,140.14999389648438,60.09000015258789,237.47000122070312,147.69000244140625,78.94000244140625,295.2200012207031,127.41000366210938,150.22999572753906,181.02999877929688,507.0199890136719,213.4499969482422,52.36000061035156,47.47999954223633,145.00999450683594
145,163.97999572753906,236.25,190.72000122070312,192.8300018310547,220.91000366210938,218.8000030517578,55.970001220703125,161.72999572753906,140.3000030517578,62.38999938964844,345.3800048828125,340.739990234375,194.72000122070312,128.75999450683594,47.45000076293945,174.83999633789062,140.10000610351562,60.099998474121094,238.9199981689453,148.32000732421875,79.11000061035156,300.42999267578125,131.24000549316406,150.14999389648438,180.30999755859375,506.1199951171875,219.11000061035156,50.79999923706055,47.36000061035156,145.44000244140625
146,165.3800048828125,236.32000732421875,189.08999633789062,185.89999389648438,223.7100067138672,213.72000122070312,56.0,164.63999938964844,138.6199951171875,63.34000015258789,339.0,329.3699951171875,193.02000427246094,128.10000610351562,47.38999938964844,175.8300018310547,139.64999389648438,60.58000183105469,235.32000732421875,148.5800018310547,79.05999755859375,299.1600036621094,130.19000244140625,150.72000122070312,182.5399932861328,507.6600036621094,217.0399932861328,51.099998474121094,47.380001068115234,144.22999572753906
147,168.82000732421875,236.47000122070312,191.3300018310547,191.0399932861328,222.7100067138672,218.2100067138672,56.16999816894531,164.08999633789062,140.11000061035156,63.54999923706055,343.010009765625,329.7300109863281,195.02999877929688,129.05999755859375,48.38999938964844,175.0,142.6199951171875,60.79999923706055,238.1199951171875,149.94000244140625,79.30000305175781,304.05999755859375,133.08999633789062,151.8800048828125,182.6999969482422,505.32000732421875,218.47000122070312,51.0,47.43000030517578,143.8000030517578
148,170.2100067138672,234.17999267578125,186.02000427246094,186.0399932861328,222.1699981689453,211.11000061035156,54.47999954223633,165.86000061035156,137.63999938964844,63.29999923706055,335.6099853515625,317.04998779296875,192.33999633789062,128.3000030517578,48.27000045776367,174.33999633789062,139.77999877929688,60.400001525878906,236.1199951171875,147.67999267578125,79.7300033569336,299.489990234375,133.0,150.82000732421875,181.6199951171875,503.2300109863281,214.67999267578125,50.970001220703125,46.7400016784668,141.9499969482422
149,174.07000732421875,236.8699951171875,188.88999938964844,189.0500030517578,222.2100067138672,213.97999572753906,54.5,166.3000030517578,138.9600067138672,64.08999633789062,336.2300109863281,315.7799987792969,194.69000244140625,129.25,51.619998931884766,175.24000549316406,140.69000244140625,60.97999954223633,240.25999450683594,148.97999572753906,80.41000366210938,304.1000061035156,132.0800018310547,151.0800018310547,184.22000122070312,513.4600219726562,217.30999755859375,51.0,47.02000045776367,142.8300018310547
150,174.72000122070312,238.7899932861328,190.27999877929688,188.9499969482422,223.36000061035156,211.02999877929688,54.970001220703125,169.30999755859375,139.13999938964844,64.69999694824219,337.489990234375,310.67999267578125,197.7899932861328,131.35000610351562,51.83000183105469,176.9199981689453,141.9199981689453,61.529998779296875,241.5800018310547,150.4600067138672,81.33999633789062,303.67999267578125,133.6999969482422,152.8300018310547,187.75,513.030029296875,218.42999267578125,51.279998779296875,47.119998931884766,143.4499969482422
151,175.60000610351562,240.47000122070312,189.6999969482422,188.16000366210938,221.85000610351562,215.27999877929688,55.13999938964844,166.35000610351562,138.72000122070312,64.11000061035156,335.29998779296875,314.2799987792969,197.11000061035156,131.47000122070312,51.5099983215332,177.8300018310547,140.8699951171875,61.91999816894531,242.94000244140625,149.47000122070312,81.20999908447266,310.70001220703125,134.80999755859375,153.8800048828125,186.75999450683594,513.2000122070312,220.77000427246094,51.16999816894531,47.189998626708984,146.0
152,178.9600067138672,241.5399932861328,190.94000244140625,193.8000030517578,221.0399932861328,221.2899932861328,55.66999816894531,164.32000732421875,142.3800048828125,64.19000244140625,339.6600036621094,317.7099914550781,197.5399932861328,131.94000244140625,52.25,177.74000549316406,141.17999267578125,62.15999984741211,248.1699981689453,152.0800018310547,81.56999969482422,315.4100036621094,139.13999938964844,155.4600067138672,183.80999755859375,510.7300109863281,228.1199951171875,51.25,47.81999969482422,147.22999572753906
153,177.77000427246094,242.57000732421875,189.75999450683594,194.91000366210938,223.0800018310547,214.94000244140625,56.04999923706055,165.47999572753906,140.9600067138672,64.26000213623047,335.5899963378906,308.4599914550781,196.5399932861328,132.1300048828125,51.43000030517578,179.58999633789062,140.5399932861328,62.209999084472656,249.02999877929688,151.42999267578125,82.4000015258789,313.8599853515625,138.5399932861328,154.38999938964844,185.5500030517578,520.8200073242188,223.9499969482422,51.61000061035156,47.459999084472656,149.8699951171875
